id,domain,sam,upn,sid,role
7a553626-af2e-4a91-b38c-68d99bea4b19,AGE,n.pistacho,n.pistacho@age.local,S-1-5-21-2481923711-3928475610-1122334455-1101,
fe8b0f92-2ef2-4123-ba2f-d3f711237562,AGE,l.navarro,l.navarro@age.local,S-1-5-21-2481923711-3928475610-1122334455-1102,
c4d81642-a74d-43b0-b6d1-4ef3e0e86a56,AGE,m.herrera,m.herrera@age.local,S-1-5-21-2481923711-3928475610-1122334455-1103,
5296f814-55a6-407e-b977-6ec54ff76adc,AGE,s.molina,s.molina@age.local,S-1-5-21-2481923711-3928475610-1122334455-1104,
caefbffc-c4f1-4ca5-a2cb-5facf03650c5,AGE,d.serrano,d.serrano@age.local,S-1-5-21-2481923711-3928475610-1122334455-1105,
7ea4e63d-7584-44fa-8901-6808173c8af0,AGE,p.carrasco,p.carrasco@age.local,S-1-5-21-2481923711-3928475610-1122334455-1106,
de79d405-16e2-4cc4-a92e-ddeaf26c26ed,AGE,j.romero,j.romero@age.local,S-1-5-21-2481923711-3928475610-1122334455-1107,
e8452957-e848-46e4-a263-7ebc8657531c,AGE,m.delgado,m.delgado@age.local,S-1-5-21-2481923711-3928475610-1122334455-1108,
9399eadd-ca08-46d0-b96a-824530602f08,AGE,a.castillo,a.castillo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1109,
079f12d7-9bb2-4bf6-b722-346bc7a1d851,AGE,c.morales,c.morales@age.local,S-1-5-21-2481923711-3928475610-1122334455-1110,
d072f473-aa0b-4766-b8cc-c035886a7f46,AGE,h.ortega,h.ortega@age.local,S-1-5-21-2481923711-3928475610-1122334455-1111,
21c9011b-3039-4060-814e-e51b3a0aed5c,AGE,l.iglesias,l.iglesias@age.local,S-1-5-21-2481923711-3928475610-1122334455-1112,
8399022c-61de-463a-9aa2-8a7dc6c36b5f,AGE,d.fuentes,d.fuentes@age.local,S-1-5-21-2481923711-3928475610-1122334455-1113,
7e6dfd12-edde-4aff-bd0e-b8c41843fdd1,AGE,e.gallardo,e.gallardo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1114,
e8096805-3d57-44b5-982d-c111c53772e2,AGE,i.pacheco,i.pacheco@age.local,S-1-5-21-2481923711-3928475610-1122334455-1115,
a5b26c05-f6a0-481e-bc76-34b0c7f05d84,AGE,s.camacho,s.camacho@age.local,S-1-5-21-2481923711-3928475610-1122334455-1116,
cc85c4ea-9a57-4cec-8d62-c33fc99e6345,AGE,m.benitez,m.benitez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1117,
edbf5b1a-bbe4-485f-b6df-221f6f274301,AGE,c.cabrera,c.cabrera@age.local,S-1-5-21-2481923711-3928475610-1122334455-1118,
bc70f309-fbac-4663-98e0-9ae774d9e89d,AGE,a.salazar,a.salazar@age.local,S-1-5-21-2481923711-3928475610-1122334455-1119,
6eadb38b-ded1-432e-a6f6-474eeecdd8b2,AGE,i.valverde,i.valverde@age.local,S-1-5-21-2481923711-3928475610-1122334455-1120,
0f8841c9-8419-4e35-89cf-2d986ceeb978,AGE,p.montes,p.montes@age.local,S-1-5-21-2481923711-3928475610-1122334455-1121,
b86ecbdc-9724-4a42-8360-2e7f0b03c2e1,AGE,a.aparicio,a.aparicio@age.local,S-1-5-21-2481923711-3928475610-1122334455-1122,
fc47c340-a34e-4c30-9376-aa782bd1b224,AGE,r.bermudez,r.bermudez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1123,
190b7a0a-3b75-4018-a7e6-22b5520007e4,AGE,n.carmona,n.carmona@age.local,S-1-5-21-2481923711-3928475610-1122334455-1124,
1d14ea3c-8ae8-4958-9fc3-fdea1bf9b271,AGE,v.cuevas,v.cuevas@age.local,S-1-5-21-2481923711-3928475610-1122334455-1125,
68d94244-b4af-437d-bd91-fc6dae2457a1,AGE,n.duran,n.duran@age.local,S-1-5-21-2481923711-3928475610-1122334455-1126,
2086f969-39a5-4c2c-b08d-eb818289ccdd,AGE,r.escobar,r.escobar@age.local,S-1-5-21-2481923711-3928475610-1122334455-1127,
bcba265e-d4b0-4fa1-bd45-71c8e5a39f28,AGE,b.figueroa,b.figueroa@age.local,S-1-5-21-2481923711-3928475610-1122334455-1128,
273cee8a-7bb2-4a20-9acc-f35b04bbd337,AGE,c.galindo,c.galindo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1129,
2c2ba03e-1271-4b9c-ac84-58fb5e2cd524,AGE,r.hidalgo,r.hidalgo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1130,
76c6b552-ebf6-45d5-9144-721b175919f4,AGE,d.ibanez,d.ibanez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1131,
328cb6bd-f73e-453f-bad0-aa82513a36b8,AGE,c.jurado,c.jurado@age.local,S-1-5-21-2481923711-3928475610-1122334455-1132,
06cc3f33-a043-4293-be7b-9fbbc1e9749d,AGE,l.lorenzo,l.lorenzo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1133,
08801e9e-ea97-43c6-8722-992fd790590e,AGE,p.mendoza,p.mendoza@age.local,S-1-5-21-2481923711-3928475610-1122334455-1134,
2af267a4-265a-4a52-819f-f6cec1411755,AGE,m.noguera,m.noguera@age.local,S-1-5-21-2481923711-3928475610-1122334455-1135,
611ccd3e-5b4b-4819-ba7d-4e3aeef16e12,AGE,a.orellana,a.orellana@age.local,S-1-5-21-2481923711-3928475610-1122334455-1136,
65e828c8-4b68-4b03-90d9-a1a2dc2544ba,AGE,f.palacios,f.palacios@age.local,S-1-5-21-2481923711-3928475610-1122334455-1137,
8ee41334-347d-49ce-b8f6-e4f9dd021a54,AGE,i.quintana,i.quintana@age.local,S-1-5-21-2481923711-3928475610-1122334455-1138,
76b6e647-6a30-420d-8b6f-b40b48f01094,AGE,j.roldan,j.roldan@age.local,S-1-5-21-2481923711-3928475610-1122334455-1139,
d91167a3-5d51-4e0c-9107-c68405bdb7da,AGE,t.sanchez,t.sanchez@age.local,S-1-5-21-2481923711-3928475610-1122334455-1140,
a9952c9a-2d24-46e7-b51c-f0b89bc5bd86,AGE,s.tabares,s.tabares@age.local,S-1-5-21-2481923711-3928475610-1122334455-1141,
301b8cfd-aab5-4fc4-a240-ce145d3fa02e,AGE,m.urrutia,m.urrutia@age.local,S-1-5-21-2481923711-3928475610-1122334455-1142,
1e5dd3a0-2853-4e57-8658-4f1969ea4631,AGE,o.velasco,o.velasco@age.local,S-1-5-21-2481923711-3928475610-1122334455-1143,
7cc15068-8c6a-46ca-a06e-2426cc4c97ec,AGE,s.zambrano,s.zambrano@age.local,S-1-5-21-2481923711-3928475610-1122334455-1144,
b36a7711-b2e1-4ef6-be85-91313e173f6a,AGE,a.arroyo,a.arroyo@age.local,S-1-5-21-2481923711-3928475610-1122334455-1145,
1602e2c2-52d7-4116-9ee1-9ad13eb463da,AGE,e.barroso,e.barroso@age.local,S-1-5-21-2481923711-3928475610-1122334455-1146,
